a,b,c,t
0,1,3,1818
1,1,2,1823
2,1,3,1881
3,1,2,1899
4,1,2,1971
5,1,3,2138
6,1,2,2354
7,1,1,2497
8,1,1,2578
9,1,1,2655
10,1,1,2786
11,1,1,2846
12,1,1,2917
13,1,1,3003
14,1,2,4883
15,1,3,4894
16,1,2,4952
17,1,1,5602
18,1,1,5687
19,1,1,5800
20,1,1,5880
21,1,1,5941
22,1,1,5981
23,1,1,6080
24,1,3,7944
25,1,2,7983
26,1,2,8047
27,1,3,8080
28,1,2,8144
29,1,2,8224
30,1,2,8270
31,1,2,8335
32,1,3,8378
33,1,1,8700
34,1,1,8789
35,1,1,8993
36,1,1,9026
37,1,1,9082
38,1,1,9210
39,1,3,11071
40,1,2,11114
41,1,4,11121
42,1,4,11181
43,1,2,11189
44,1,3,11202
45,1,2,11253
46,1,2,11310
47,1,3,11344
48,1,2,11387
49,1,3,11422
50,1,2,11438
51,1,3,11481
52,1,2,11495
53,1,3,11498
54,1,1,11756
55,1,1,11891
56,1,1,11952
57,1,1,12037
58,1,1,12091
59,1,1,12164
60,1,3,14223
61,1,2,14256
62,1,3,14301
63,1,2,14314
64,1,3,14365
65,1,2,14390
66,1,3,14400
67,1,3,14462
68,1,2,14501
69,1,3,14554
70,1,2,14562
71,1,2,14604
72,1,4,14619
73,1,1,14920
74,1,1,14989
75,1,1,15102
76,1,1,15166
77,1,1,15226
78,1,1,15410
79,1,1,15458
80,1,1,15498
81,1,4,17323
82,1,2,17332
83,1,3,17341
84,1,2,17402
85,1,4,17410
86,1,3,17417
87,1,3,17494
88,1,2,17765
89,1,1,18029
90,1,1,18094
91,1,2,18132
92,1,1,18197
93,1,1,18261
94,1,1,18330
95,1,1,18394
96,1,3,20404
97,1,2,20417
98,1,3,20460
99,1,2,20498
100,1,3,20530
101,1,3,20646
102,1,2,20714
103,1,2,20765
104,1,2,20801
105,1,1,21109
106,1,1,21182
107,1,1,21239
108,1,1,21316
109,1,1,21381
110,1,1,21428
111,1,1,21653
112,1,3,23489
113,1,2,23537
114,1,2,23545
115,1,3,23582
116,1,2,23611
117,1,3,23669
118,1,3,23992
119,1,1,24221
120,1,1,24335
121,1,1,24394
122,1,1,24455
123,1,1,24521
124,1,1,24612
125,1,1,24676
126,1,1,24737
127,1,2,26632
128,1,3,26677
129,1,2,26720
130,1,2,26807
131,1,2,26865
132,1,2,26956
133,1,3,26972
134,1,2,27025
135,1,1,27382
136,1,1,27453
137,1,1,27553
138,1,1,27595
139,1,1,27659
140,1,1,27762
141,1,1,27805
142,1,1,27945
143,1,4,29709
144,1,2,29753
145,1,3,29757
146,1,3,29843
147,1,2,29902
148,1,3,29915
149,1,2,29970
150,1,2,30043
151,1,2,30086
152,1,3,30106
153,1,3,30148
154,1,1,30537
155,1,1,30623
156,1,1,30697
157,1,1,30782
158,1,1,30833
159,1,1,30898
160,1,2,32817
161,1,3,32860
162,1,2,32904
163,1,3,32916
164,1,3,32994
165,1,4,33144
166,1,3,33208
167,1,3,33380
168,1,2,33410
169,1,1,33532
170,1,2,33552
171,1,1,33618
172,1,2,33639
173,1,1,33697
174,1,1,33755
175,1,1,33834
176,1,1,33893
177,1,1,33952
178,1,1,34019
179,1,3,35904
180,1,4,35917
181,1,2,35939
182,1,3,35997
183,1,2,36058
184,1,3,36083
185,1,2,36110
186,1,3,36132
187,1,2,36243
188,1,3,36324
189,1,2,36389
190,1,1,36653
191,1,1,36771
192,1,1,36838
193,1,1,36930
194,1,1,37024
195,1,1,37084
196,1,1,37156
197,1,1,37206
198,1,4,39037
199,1,3,39049
200,1,2,39062
201,1,3,39123
202,1,3,39173
203,1,2,39220
204,1,3,39225
205,1,2,39300
206,1,3,39341
207,1,2,39379
208,1,3,39609
209,1,1,39790
210,1,1,39861
211,1,1,39943
212,1,1,40028
213,1,1,40117
214,1,1,40183
215,1,4,42133
216,1,3,42145
217,1,2,42158
218,1,3,42206
219,1,2,42241
220,1,2,42299
221,1,2,42378
222,1,3,42386
223,1,3,42436
224,1,3,42485
225,1,3,42547
226,1,3,42626
227,1,1,42840
228,1,1,42985
229,1,1,43079
230,1,1,43176
231,1,1,43231
232,1,1,43445
233,1,3,45233
234,1,2,45249
235,1,3,45331
236,1,2,45357
237,1,3,45382
238,1,2,45426
239,1,3,45446
240,1,2,45500
241,1,2,45684
242,1,2,45819
243,1,1,45945
244,1,1,46024
245,1,2,46035
246,1,2,46102
247,1,1,46120
248,1,1,46192
249,1,1,46522
250,1,3,48343
251,1,2,48371
252,1,2,48450
253,1,3,48465
254,1,2,48505
255,1,3,48565
256,1,2,48570
257,1,3,48607
258,1,2,48647
259,1,3,48658
260,1,2,48711
261,1,3,48725
262,1,3,48772
263,1,2,48856
264,1,3,48946
265,1,1,49037
266,1,1,49107
267,1,1,49212
268,1,1,49273
269,1,1,49354
270,1,1,49466
271,1,1,49542
272,1,4,49588
273,1,1,49601
274,1,1,49636
275,1,4,51411
276,1,3,51464
277,1,2,51487
278,1,3,51534
279,1,4,51548
280,1,2,51556
281,1,3,51613
282,1,2,51623
283,1,3,51672
284,1,2,51732
285,1,2,51792
286,1,3,51968
287,1,1,52166
288,1,1,52242
289,1,1,52334
290,1,1,52393
291,1,1,52441
292,1,1,52513
293,1,1,52568
294,1,1,52688
295,1,1,52732
296,1,1,52778
