t,inout,gd,inout2
00:00:00,362.1916667,602,257.8
00:05:00,359.9238095,593.6666667,269.3333333
00:10:00,322.57,626.6666667,184.1666667
00:15:00,310.675641,599.6666667,256.8
00:20:00,315.2969231,581.3333333,216.8333333
00:25:00,283.9711111,597.3333333,179.5428571
00:30:00,308.443956,585.3333333,279.625
00:35:00,385.1787879,614.3333333,251.7333333
00:40:00,360.8869565,607,191.9176471
00:45:00,320.0878788,602.3333333,275.25
00:50:00,390.56875,603.3333333,173.075
00:55:00,299.0589744,615,87.73636364
01:00:00,217.725,595.3333333,200.8
01:05:00,373.9166667,613,190.7833333
01:10:00,302.2789474,605.6666667,247.7307692
01:15:00,309.2764706,625.3333333,181.5833333
01:20:00,170.5666667,593,177.9
01:25:00,284.25,601.3333333,279.8
01:30:00,305.0807692,613.6666667,228.9
01:35:00,192.3272727,599.3333333,163.4
01:40:00,185.9,610.6666667,191.96
01:45:00,205.5636364,626.6666667,209.2
01:50:00,168.1757576,598.6666667,178.85
01:55:00,103.9818182,601.6666667,90.08888889
02:00:00,349.87,614.3333333,88.875
02:05:00,388.3714286,592.6666667,231.55
02:10:00,259.1785714,565.3333333,75.43333333
02:15:00,228.6916667,599.6666667,79.05
02:20:00,282.525,591,79.58
02:25:00,204.5545455,586.3333333,202.38
02:30:00,226.7333333,593,262.2
02:35:00,197.8454545,590,92.42222222
02:40:00,265.5416667,605.5,272.0142857
02:45:00,173.6555556,596,86.225
02:50:00,253.5428571,610.3333333,88.875
02:55:00,97.05,580.6666667,85.33333333
03:00:00,190.075,588,204.4
03:05:00,187.5333333,606.6666667,87.9
03:10:00,308.4142857,606.6666667,302.05
03:15:00,173.1125,602.3333333,169.3
03:20:00,119.7888889,592.6666667,92.3
03:25:00,369.3285714,570.3333333,181.8
03:30:00,267.65,606,176.6125
03:35:00,225.385,594.6666667,259.2
03:40:00,247.4333333,592,211.8333333
03:45:00,306.1333333,611.6666667,183.2333333
03:50:00,207.0428571,617,196.2333333
03:55:00,269.125,622.6666667,256.8
04:00:00,249.8095238,605,190.65
04:05:00,334.6181818,613.6666667,85.05
04:10:00,174.275,608.6666667,172.3
04:15:00,315.5722222,604.6666667,193.5666667
04:20:00,311.5875,590.6666667,146.1
04:25:00,252.7666667,591,74.25
04:30:00,309.8555556,588,174.9
04:35:00,285.54,595,261.3
04:40:00,291.0733333,606,260.7
04:45:00,193.39,592.3333333,85.1
04:50:00,193.4142857,600,93.45
04:55:00,343.5083333,614.6666667,80.52
05:00:00,288.3916667,614.6666667,289.05
05:05:00,254.9431373,600,208.3
05:10:00,339.3619048,614.6666667,207.26
05:15:00,383.5066667,599.6666667,189.9
05:20:00,366.9034483,596.6666667,203.1181818
05:25:00,264.3666667,589.5,258.3933333
05:30:00,297.1466667,576.3333333,279.64
05:35:00,324.5451613,598.3333333,180.5153846
05:40:00,246.2111111,597.3333333,188.3293651
05:45:00,283.8766667,587.3333333,253.1222222
05:50:00,287.8569106,591,260.3141414
05:55:00,258.6662234,595.6666667,269.5138889
06:00:00,334.1064103,620.3333333,212.4181818
06:05:00,375.2378571,605.6666667,314.1842105
06:10:00,379.164536,609.3333333,338.7279412
06:15:00,348.4908858,636.3333333,266.65625
06:20:00,313.9020372,619.3333333,262.0834034
06:25:00,335.9222103,623,272.0179624
06:30:00,396.0693939,655,321.0533665
06:35:00,347.1396608,641.3333333,266.7265292
06:40:00,337.2551368,630,246.1297959
06:45:00,292.3498423,667,228.8494693
06:50:00,304.7514493,678.6666667,247.7073856
06:55:00,349.9871419,663.3333333,268.6761594
07:00:00,341.4743238,688,277.7135504
07:05:00,353.7507841,652,289.422807
07:10:00,350.8373061,682,284.5072222
07:15:00,366.9551284,661.3333333,278.7177778
07:20:00,402.3609771,676,274.1362264
07:25:00,356.4289997,700.3333333,280.7944303
07:30:00,361.1455107,687.3333333,271.3259466
07:35:00,378.0874144,704,272.3479171
07:40:00,354.4445976,695,271.2804569
07:45:00,543.9902213,715.6666667,256.1402784
07:50:00,469.1740746,726.6666667,336.8590144
07:55:00,366.6215879,702.3333333,278.2881536
08:00:00,421.4943643,651.3333333,329.3247565
08:05:00,395.2894736,662,313.8263732
08:10:00,358.8047136,677,273.4455771
08:15:00,352.968893,643.3333333,279.5174538
08:20:00,365.1314724,639.3333333,267.4246096
08:25:00,395.529501,691.5,281.229663
08:30:00,373.0987064,621.6666667,271.899216
08:35:00,351.0871045,644.3333333,274.5853448
08:40:00,361.030031,686,284.3036874
08:45:00,363.4349396,646,281.2212958
08:50:00,370.3052962,672,279.4749473
08:55:00,344.8713619,674.6666667,280.4968069
09:00:00,348.5325385,653,285.4796641
09:05:00,353.3660129,668,283.4051899
09:10:00,519.0408164,621.6666667,286.639881
09:15:00,366.9156244,640.3333333,283.2333629
09:20:00,537.4552413,631.6666667,275.2554359
09:25:00,347.9893486,659,280.9574752
09:30:00,339.4993001,629,268.1292402
09:35:00,345.3924325,623.3333333,273.2058703
09:40:00,355.8006712,617.3333333,278.5239833
09:45:00,332.3009659,641.5,279.2945549
09:50:00,344.2788743,604,283.480349
09:55:00,345.1773565,633.3333333,277.7493827
10:00:00,356.2594653,636,269.320672
10:05:00,357.2878837,618,278.9581055
10:10:00,360.2597647,627.6666667,284.4546131
10:15:00,365.2449268,676,273.7514864
10:20:00,358.7329427,663.3333333,276.7471612
10:25:00,350.5212533,600.3333333,278.1529949
10:30:00,349.5777043,615.6666667,276.6445726
10:35:00,364.2715228,612.3333333,278.1335714
10:40:00,444.6396008,645,281.2459967
10:45:00,345.8720659,614.3333333,275.0577542
10:50:00,350.9068543,638.6666667,280.5689357
10:55:00,350.3251039,639.3333333,288.25061
11:00:00,352.1451649,706,278.0498904
11:05:00,351.2698372,766.5,277.0196942
11:10:00,446.1892308,667.6666667,353.1490899
11:15:00,445.0340826,628.3333333,277.4638528
11:20:00,479.5171366,614,270.9875
11:25:00,513.1021576,629.6666667,266.0038819
11:30:00,342.7497067,666,253.0530672
11:35:00,344.4318796,660.6666667,259.5666397
11:40:00,311.6879586,661,266.1835897
11:45:00,333.4519224,640.6666667,255.9395767
11:50:00,317.2015162,618,251.0095202
11:55:00,334.5734627,626,254.3119048
12:00:00,325.1702907,610.3333333,259.0873737
12:05:00,326.5614274,625,256.6730392
12:10:00,330.2956694,580.6666667,259.1312427
12:15:00,343.8049099,585,260.9364379
12:20:00,344.3280303,637.3333333,266.6537395
12:25:00,351.5346014,610.3333333,272.1597962
12:30:00,321.7893406,610.3333333,275.5719444
12:35:00,336.5597675,634.3333333,285.0611911
12:40:00,336.0265306,656.6666667,276.0153846
12:45:00,344.0198693,663.6666667,281.092381
12:50:00,334.3240071,641.6666667,283.0328728
12:55:00,338.1801377,655.3333333,282.6162763
13:00:00,528.1738485,614,287.9767971
13:05:00,509.3329282,640.3333333,285.4047967
13:10:00,343.3104096,618.6666667,270.3261905
13:15:00,358.9507134,600,279.55205
13:20:00,340.5665962,657.6666667,281.3096591
13:25:00,351.7026121,654.6666667,281.7370791
13:30:00,344.5736739,644,285.9139727
13:35:00,441.0142012,649,280.2500842
13:40:00,441.9207465,687.3333333,273.699375
13:45:00,322.0210575,663.3333333,274.7456019
13:50:00,332.2853559,688,274.5249647
13:55:00,469.3257119,663.6666667,280.4505342
14:00:00,519.6314431,676,277.6430403
14:05:00,540.6127514,668.5,280.2082737
14:10:00,338.4326625,644.3333333,283.1663664
14:15:00,351.2683806,670.3333333,269.0407468
14:20:00,339.858825,650.3333333,270.7942222
14:25:00,349.2680015,679,279.8246032
14:30:00,347.2423778,607,277.4966007
14:35:00,555.0684295,606.6666667,281.9609283
14:40:00,556.5072301,622,279.6079375
14:45:00,368.4681805,648.3333333,281.3002521
14:50:00,359.2673993,662.3333333,279.8229382
14:55:00,359.5165023,613.6666667,270.8452381
15:00:00,349.2775486,618.6666667,279.4409317
15:05:00,367.2561228,612.6666667,286.6862121
15:10:00,368.5393757,619.3333333,287.8463738
15:15:00,346.4018806,636.3333333,278.0215893
15:20:00,331.822281,629,277.1890693
15:25:00,350.1462938,656.6666667,275.7230867
15:30:00,350.3151695,618,276.6865196
15:35:00,334.0850844,626.6666667,276.4179635
15:40:00,352.7301321,650,276.6494368
15:45:00,501.9640355,657.3333333,278.9093711
15:50:00,342.4659483,665.3333333,280.9590188
15:55:00,352.8470867,643,289.0000779
16:00:00,338.9989533,645,279.3136321
16:05:00,350.0764708,631.3333333,278.0574422
16:10:00,359.9561652,646,281.3113888
16:15:00,366.7418051,659.3333333,279.3103821
16:20:00,359.0654274,664.6666667,278.1594786
16:25:00,354.1027769,648,282.2615596
16:30:00,367.3128505,636,287.1260634
16:35:00,366.6681414,660,281.2855426
16:40:00,534.4458214,629.3333333,285.9133906
16:45:00,533.4595891,630.3333333,279.8396284
16:50:00,384.1680445,638.5,282.8951707
16:55:00,395.9133164,618.3333333,292.2156811
17:00:00,575.5385165,647,293.0642344
17:05:00,549.5586486,630.3333333,274.1678461
17:10:00,389.1321935,641.6666667,276.0507407
17:15:00,406.252625,649.6666667,260.9931199
17:20:00,435.6939695,675.6666667,280.3659254
17:25:00,408.799314,657.6666667,285.4345352
17:30:00,412.4239481,647.3333333,267.9708375
17:35:00,546.579079,646,272.4420163
17:40:00,532.6666177,662.3333333,288.1895267
17:45:00,574.2240654,665.6666667,279.605363
17:50:00,374.8279665,672,271.6507953
17:55:00,403.5922847,655.6666667,325.6203065
18:00:00,412.8742899,639.3333333,333.364077
18:05:00,365.4647557,658.3333333,286.52454
18:10:00,370.6478594,640.6666667,280.9640851
18:15:00,348.576496,660.3333333,277.2901405
18:20:00,338.1841368,638.75,257.8346342
18:25:00,570.7853642,658,277.1395763
18:30:00,556.1656687,669,278.8428298
18:35:00,340.7290764,673.5,282.8290962
18:40:00,341.7215779,645,280.8247543
18:45:00,367.5918713,643.6666667,283.5127844
18:50:00,361.3973118,647,282.7927381
18:55:00,343.5889344,639.3333333,273.1179782
19:00:00,583.3506083,631,263.2271748
19:05:00,580.1722879,630,277.413473
19:10:00,337.1191799,648,282.3465752
19:15:00,418.0705776,639,356.2926282
19:20:00,425.2812383,635.5,369.0747768
19:25:00,345.9861481,636.75,268.0343019
19:30:00,351.5870588,663,275.3389775
19:35:00,368.51163,655.5,269.5897436
19:40:00,340.0047701,631.75,272.4595149
19:45:00,350.8713141,624,281.9419425
19:50:00,353.0678625,633.6666667,275.2664404
19:55:00,338.719863,636.5,280.8974775
20:00:00,378.3484848,635,196.0364535
20:05:00,344.6166798,652.5,265.7931217
20:10:00,348.0977046,644,284.1852426
20:15:00,321.2634841,651.5,269.9714101
20:20:00,336.6845,664.25,261.8778836
20:25:00,310.7446932,684,271.307563
20:30:00,325.7195161,673.5,279.1137037
20:35:00,326.1524605,671.5,270.4961538
20:40:00,330.9980392,650.5,272.7245014
20:45:00,337.3458661,665.75,281.3451979
20:50:00,424.7252485,661.5,339.9008403
20:55:00,361.7128046,651.5,279.8343939
21:00:00,340.3286111,653.5,274.2068691
21:05:00,342.0716464,665,268.9547389
21:10:00,371.4043201,659.3333333,274.5821668
21:15:00,314.0601423,675.75,267.4568149
21:20:00,486.4351852,647.5,270.8666667
21:25:00,382.0453135,660.25,285.0366667
21:30:00,371.927708,656,269.6971514
21:35:00,356.0289043,635.5,258.3494019
21:40:00,308.1799469,626.75,260.98
21:45:00,317.1252934,630.5,271.8114379
21:50:00,330.9028427,638.25,271.1397619
21:55:00,327.3398955,627.25,275.2706914
22:00:00,320.4555119,640.75,263.937232
22:05:00,310.6709524,606.3333333,267.5815385
22:10:00,501.3040789,648.3333333,275.0571429
22:15:00,341.5875,626.3333333,274.2236559
22:20:00,336.4757937,623,262.3202381
22:25:00,333.2739766,700.5,277.5470588
22:30:00,319.9796703,639.6666667,283.4178744
22:35:00,295.8571429,637,272.0222222
22:40:00,369.0962722,657.6666667,261.75125
22:45:00,350.0810897,678.3333333,263.4152778
22:50:00,344.9381329,695,275.2072222
22:55:00,338.7272436,625,206.0214286
23:00:00,300.4759048,612.3333333,253.925
23:05:00,310.7108706,627,271.5666667
23:10:00,354.1566667,646.3333333,255.5923077
23:15:00,326.5638095,630.3333333,269.0809524
23:20:00,336.2894444,609,260.6166667
23:25:00,274.9576923,613.3333333,308.7125
23:30:00,369.2714286,632,204.0333333
