cid,nlane,turn,dnroad,geom,len
4634_4554,3,U#L#R#S,4554_4634#4554_4563#4554_4536#4554_4526,0105000020E610000001000000010200000009000000493AB99514B15D406BC5ED8623F03E40BB57F7D912B15D40DEA1D587FDEF3E40BEB1F37812B15D40BDC2A309EBEF3E40023122B412B15D40EB3F42FFCAEF3E4091F39B1513B15D40083D7A47B6EF3E40466D8F9C14B15D402EA7CA189BEF3E40E68C305E16B15D406995D37D84EF3E401629BD0421B15D40B99E113A22EF3E40FB8990DB2BB15D408042A0A7BFEE3E40,628.0074424098732
4536_4497,3,U#R#L#S,4497_4536#4497_4440#4497_4526#4497_4415,0105000020E61000000100000001020000000A000000782B529B77B05D4030C3668A7DEE3E40005E00637BB05D4060541EC66CEE3E404899B47981B05D4050830B1459EE3E40B8A9782B84B05D40F038CF5C50EE3E40E86DC52E8CB05D40C0DBE5CA3CEE3E4018E691CDA2B05D407089579105EE3E40D0D72E05B5B05D40401B5FD9D7ED3E40D0D83040CBB05D4050FF15B09FED3E40703E9771DFB05D4050BB6A9B6BED3E402810D3B1EFB05D40B0FD166A3BED3E40,889.4636169081161
4635_4536,4,U#L#S#R,4536_4635#4536_4554#4536_4497#4536_4562,0105000020E610000001000000010200000010000000D0FB4A7D5FB05D403050F4C838F03E402811F34260B05D40B00F594E09F03E40C85F4D1762B05D40F09D50B0C8EF3E40402E142A64B05D40101D3A5E7DEF3E40B82B497864B05D4080771F4572EF3E402017272165B05D4010375B7158EF3E40308FAC3165B05D4050EE93EA55EF3E406013117F66B05D40005E98EC22EF3E40E8527FD166B05D40C0BA784C18EF3E40D875E70A68B05D40B030FDE5EFEE3E40A0AEF4C869B05D40A07D11E6D6EE3E40D05D20486BB05D40F0D8E320C9EE3E4040B7485B6EB05D4050F0BADCB2EE3E4000390BC26FB05D40D06ED8B6A8EE3E40A8FCEBAF73B05D40E0DD20ED8EEE3E40782B529B77B05D4030C3668A7DEE3E40,774.3176803334405
4554_4536,4,R#U#L#S,4536_4635#4536_4554#4536_4497#4536_4562,0105000020E610000001000000010200000009000000FB8990DB2BB15D408042A0A7BFEE3E400E81C8C713B15D408B88E62AABEE3E408F98D176E9B05D4053C412A48CEE3E409B115275D7B05D40EF4507667DEE3E400D30FB8EC4B05D403C4EB08373EE3E407242744AB8B05D40F4EBFB2E74EE3E403AE65D7188B05D40329D29B67AEE3E401F3AD25383B05D40C19547927BEE3E40D589579B77B05D402B5A6F8A7DEE3E40,1065.7317377860384
4603_4630,3,U#R#S#L,4630_4603#4630_4616#4630_4680#4630_4650,0105000020E6100000010000000102000000050000008311E267AFAE5D404CD91287A6EF3E401EF57C72B9AE5D404342EFE8DAEF3E40B8BF824DC0AE5D407682054902F03E40E6D99BCEC4AE5D409836FB871DF03E4020A1C101C8AE5D40A44E822F33F03E40,278.0844830098889
4630_4680,2,U#L#R#S,4680_4630#4680_4708#4680_4671#4680_4855,0105000020E610000001000000010200000004000000E4BA6B01C8AE5D407BA50B3533F03E40D2B8C368CEAE5D403EB3033264F03E40C76904F2D7AE5D406F3A13E4B1F03E4094FA91A6EAAE5D40171D3D3C53F13E40,527.5726588765955
4680_4671,1,U#S,4671_4680#4671_4660,0105000020E610000001000000010200000003000000B8E790A6EAAE5D40B0FF493C53F13E40C067D8B3FDAE5D40207DA1F443F13E4018C9D5CA2FAF5D40D08E75C71BF13E40,414.0463643443078
4708_4650,3,U#L#S#R,4650_4708#4650_4630#4650_4624#4650_4690,0105000020E610000001000000010200000005000000086E97AFABAE5D4050183B8BA5F13E40A87B47D49EAE5D40506D8C5162F13E40589300658EAE5D4040AD05D70BF13E4048EAAFEA7BAE5D4030738A60ACF03E40183DF1E87BAE5D40C0093F57ACF03E40,505.3571172165207
4650_4624,3,U#S#R#L,4624_4650#4624_4608#4624_4655#4624_4603,0105000020E6100000010000000102000000050000004F17EFE87BAE5D40AE723657ACF03E40971E2CE77BAE5D404937FC4DACF03E4026DC125676AE5D409F950F9C8EF03E4081BC704A6DAE5D40FED32E2261F03E4079A597DE5FAE5D407D30DFB023F03E40,283.3003977511629
4655_4690,3,U#R#L,4690_4655#4690_4650#4690_4742,0105000020E610000001000000010200000004000000E11DE8BA13AE5D40208F4BE2CDF03E40D10E4D1315AE5D40ACC1C1FFD2F03E406B7439EB34AE5D40EA6480764DF13E40F5935ABD3DAE5D403E8A21D66EF13E40,366.3053451669499
